"Account address","Show boosts"
"@14_15_puzzle@ioc.exchange","true"
"@1kevgriff@bbiz.io","true"
"@73bze3z0@dataplatform.social","true"
"@abt@mastodon.social","true"
"@adamdriscoll@mastodon.social","true"
"@adrianbanks@mastodon.social","true"
"@adrienne@social.treehouse.systems","true"
"@alastairs@hachyderm.io","true"
"@alevyinroc@techhub.social","true"
"@alex_schl@sw-development-is.social","true"
"@allison_horst@mastodon.social","true"
"@amaya30@mastodon.spotek.io","true"
"@andersom79@dataplatform.social","true"
"@AndrewConnell@mastodon.world","true"
"@anupwarrier@techhub.social","true"
"@argenis@mas.to","true"
"@arrowdrive@techhub.social","true"
"@arvisam@mstdn.social","true"
"@Aschenbrenner@mas.to","true"
"@avatorl@techhub.social","true"
"@awcoding@infosec.exchange","true"
"@ay@awscommunity.social","true"
"@bertilsy@dataplatform.social","true"
"@berx@mastodon.social","true"
"@billinkc@dataplatform.social","true"
"@blowdart@mastodon.social","true"
"@bridgetkromhout@hachyderm.io","true"
"@bweissman@dataplatform.social","true"
"@caderoux@mastodon.social","true"
"@cammerman@mstdn.social","true"
"@camurphy@mastodon.social","true"
"@cathrinew@dataplatform.social","true"
"@CharlieSQL@dataplatform.social","true"
"@chrisadkin@mastodon.iriseden.eu","true"
"@ChrisAVWood@dataplatform.social","true"
"@chrissainty@mstdn.social","true"
"@ChrisW1@mstdn.social","true"
"@chrisw3bb@vivaldi.net","true"
"@cl@dbatools.io","true"
"@clairegiordano@hachyderm.io","true"
"@claudioessilva@dataplatform.social","true"
"@claz0r@mastodon.world","true"
"@clisboa@mastodon.social","true"
"@colinjack@discuss.systems","true"
"@colinmackay@mastodon.Scot","true"
"@collinlysford@mas.to","true"
"@cooper@x86.social","true"
"@cporteous@techhub.social","true"
"@craigmarch@home.social","true"
"@crazy4pi314@mathstodon.xyz","true"
"@damovisa@hachyderm.io","true"
"@danaepp@infosec.exchange","true"
"@DanielSSilva@techhub.social","true"
"@dataandme@mstdn.social","true"
"@DataMechanic@techhub.social","true"
"@DataScotland@techhub.social","true"
"@dataslugger@mas.to","true"
"@daviddasneves@ioc.exchange","true"
"@DavidRawheiser@techhub.social","true"
"@dbatools@dataplatform.social","true"
"@debasispaul@mastodon.social","true"
"@dennyglee@hacky.town","true"
"@DerFredo@techhub.social","true"
"@dgmelkin@dataplatform.social","true"
"@dhmacher@dataplatform.social","true"
"@dieterdemeyer@hachyderm.io","true"
"@DirkHondong@nrw.social","true"
"@downshiftdata@hachyderm.io","true"
"@drguthals@mstdn.social","true"
"@duckwabbit@mastodon.world","true"
"@EM_SQL@techhub.social","true"
"@emilyriederer@mastodon.social","true"
"@erinstellato@mas.to","true"
"@ExcelAnalytics@mastodon.world","true"
"@feik@social.cologne","true"
"@FranckPachot@mastodon.social","true"
"@ftrain@tilde.zone","true"
"@funkysi1701@hachyderm.io","true"
"@garethmarlow@mstdn.social","true"
"@gastoncruz@mastodon.social","true"
"@GBrayUT@hachyderm.io","true"
"@geo_walters@c.im","true"
"@GGreggB@dataplatform.social","true"
"@Gilamonster@techhub.social","true"
"@giles_s@mastodonapp.uk","true"
"@GlennAlanBerry@techhub.social","true"
"@gps@hachyderm.io","true"
"@grapefruitmoon@mastodon.scot","true"
"@grrl_geek@mastodon.world","true"
"@Grumpydev@mastodon.social","true"
"@IISResetMe@infosec.exchange","true"
"@infosecvandana@infosec.exchange","true"
"@IrishSQL@dataplatform.social","true"
"@itaryan@mastodon.ie","true"
"@j_opdenakker@infosec.exchange","true"
"@JamesDBartlett3@techhub.social","true"
"@jansche@mastodon.online","true"
"@janvanhumbeek@dataplatform.social","true"
"@jasonnkyle@infosec.exchange","true"
"@JasonSquires@dataplatform.social","true"
"@jdanton@techhub.social","true"
"@JeffEdmunds@techhub.social","true"
"@jeffhollan@hachyderm.io","true"
"@jenk@techhub.social","true"
"@JenMsft@mastodon.social","true"
"@jeresig@mastodon.social","true"
"@jk@dataplatform.social","true"
"@jkerski@mastodon.tech","true"
"@jkohlhoff@dataplatform.social","true"
"@jkw@tech.lgbt","true"
"@JMarkantes@mastodon.cloud","true"
"@joehubbert@hachyderm.io","true"
"@JordanOrdix@home.social","true"
"@jorriss@techhub.social","true"
"@Jpomfret@tech.lgbt","true"
"@Julia_Hayward@mastodon.me.uk","true"
"@juliaferraioli@floss.social","true"
"@JulieLerman@mas.to","true"
"@justB@techhub.social","true"
"@justinjbird@dataplatform.social","true"
"@kaysauter@tech.lgbt","true"
"@kelseyhightower@mastodon.social","true"
"@kennyneal@twit.social","true"
"@kevchant@techhub.social","true"
"@kevin3NF@techhub.social","true"
"@kilasuit@mastodon.social","true"
"@KimMaida@hachyderm.io","true"
"@kinshah@dataplatform.social","true"
"@kjonge@techhub.social","true"
"@kleegeek@dataplatform.social","true"
"@koen@dataplatform.social","true"
"@l_avrot@fosstodon.org","true"
"@Lee_Holmes@infosec.exchange","true"
"@leeannepedersen@mstdn.ca","true"
"@leemarkum@dataplatform.social","true"
"@leo@twit.social","true"
"@LeoNardPohl@chaos.social","true"
"@lisacrispin@mastodon.social","true"
"@macentee@mastodon.online","true"
"@maddogttu@toot.community","true"
"@MariaLuisaFranciolini@mastodon.uno","true"
"@marknca@infosec.exchange","true"
"@martinwoodward@hachyderm.io","true"
"@matthewskelton@mastodon.social","true"
"@mattstratton@hachyderm.io","true"
"@maverick@mastodon.think-privacy.com","true"
"@mbourgon@dataplatform.social","true"
"@mdbdba@masto.ai","true"
"@MeherM@techhub.social","true"
"@MI77@mastodon.online","true"
"@mihamarkic@mastodon.social","true"
"@mike@sqldba.pro","true"
"@mikebrondbjerg@vis.social","true"
"@milesmcbain@fosstodon.org","true"
"@minecr@fosstodon.org","true"
"@mmarie@techhub.social","true"
"@mmullins@data-folks.masto.host","true"
"@mssqlgirl@techhub.social","true"
"@mthierba@dataplatform.social","true"
"@napalmgram@mastodon.social","true"
"@Nican@meow.social","true"
"@nlitchfield@mastodonapp.uk","true"
"@nocentino@techhub.social","true"
"@norberteder@mastodon.social","true"
"@NULLgarity@sfba.social","true"
"@nullh@warhammer.social","true"
"@oatmeal@mastodon.social","true"
"@osiris687@dataplatform.social","true"
"@osiris687@dataplatform.social","true"
"@pcurd@mastodon.social","true"
"@peschkaj@hachyderm.io","true"
"@pesse@mastodon.social","true"
"@PickiHH@mastodon.social","true"
"@piggyinbio@piggy.to","true"
"@Pragyan@mindly.social","true"
"@pshore73@dataplatform.social","true"
"@Purple_Traci@tech.lgbt","true"
"@rakyll@m.rakyll.org","true"
"@ReactorJoe@mastodon.cloud","true"
"@rharmsen@mastodon.nl","true"
"@RichardHopton@sfba.social","true"
"@richcampbell@mastodon.social","true"
"@RicksterCDN@mastodon.social","true"
"@road42@mastodon.green","true"
"@robclenshaw@mastodon.online","true"
"@robf@mas.to","true"
"@ruby_gem@mastodon.social","true"
"@rune@techhub.social","true"
"@Sam@ecoevo.social","true"
"@samcogan@hachyderm.io","true"
"@sarekofvulcan@mastodon.cloud","true"
"@scalablecory@dotnet.social","true"
"@ScaleOvenStove@mastodon.online","true"
"@ScottSewell@techhub.social","true"
"@ScottStonehouse@hachyderm.io","true"
"@seanholm@fosstodon.org","true"
"@SeekAndDestroy@mastodonapp.uk","true"
"@SFoskett@techfieldday.net","true"
"@shanselman@hachyderm.io","true"
"@siberian@hachyderm.io","true"
"@simon@simonwillison.net","true"
"@sjkilleen@mastodon.social","true"
"@sladescross@toot.community","true"
"@SOZDBA@techhub.social","true"
"@splattne@mastodon.social","true"
"@spolsky@blackrock.city","true"
"@sporri@vivaldi.social","true"
"@SQLAllFather@techhub.social","true"
"@SQLBek@techhub.social","true"
"@SQLClause@dataplatform.social","true"
"@Sqlgene@techhub.social","true"
"@sqlmct@dataplatform.social","true"
"@sqlpedro@mas.to","true"
"@SQLSevorg@dataplatform.social","true"
"@SQLSocialite@techhub.social","true"
"@SQLSwimmer@dataplatform.social","true"
"@sqlunicorn@techhub.social","true"
"@sqlworldwide@techhub.social","true"
"@stecava@mastodon.uno","true"
"@Stephenoakman@mastodon.social","true"
"@steveoconnor@c.im","true"
"@stuartleeks@fosstodon.org","true"
"@susanbradley@infosec.exchange","true"
"@synkdorbit@masto.ai","true"
"@sysadmindrew@tech.lgbt","true"
"@tarrooon@hachyderm.io","true"
"@tastapod@mastodon.social","true"
"@TheCrazyDogLady@indieweb.social","true"
"@thrond@mastodon.social","true"
"@tmitch@mastodon.social","true"
"@tonehansson@mas.to","true"
"@transmokopter@dataplatform.social","true"
"@travi@skrimmage.com","true"
"@trendoid@fosstodon.org","true"
"@troyhunt@infosec.exchange","true"
"@TrueNorthDBA@mstdn.ca","true"
"@venzann@mastodon.nz","true"
"@ves@mastodon.online","true"
"@vickyharp@mas.to","true"
"@VolkerBachmann@dataplatform.social","true"
"@Warwick_Rudd@mas.to","true"
"@webprofusion@hachyderm.io","true"
"@williamd@dataplatform.social","true"
"@wiseDATAman@dataplatform.social","true"
"@wstrasser@dataplatform.social","true"
"@YetAnotherSQL@noc.social","true"
