"Account address","Show boosts"
"@acroll@nerdculture.de","true"
"@aiddya@infosec.exchange","true"
"@ajohnsocyber@infosec.exchange","true"
"@albertocairo@mastodon.social","true"
"@allison_horst@mastodon.social","true"
"@alper@vis.social","true"
"@anandv@fosstodon.org","true"
"@AndrewConnell@mastodon.cloud","true"
"@andykirk@vis.social","true"
"@anthonychu@hachyderm.io","true"
"@ashleymcnamara@mastodon.social","true"
"@avatorl@techhub.social","true"
"@ay@awscommunity.social","true"
"@bertilsy@dataplatform.social.","true"
"@BethMassi@noc.social","true"
"@bketelsen@tty0.social","true"
"@blowdart@mastodon.social","true"
"@BobGourley@defcon.social","true"
"@briankrebs@infosec.exchange","true"
"@bridgetkromhout@hachyderm.io","true"
"@bweissman@dataplatform.social","true"
"@cagataycevikk@medium.com","true"
"@chambernate@mastodon.social","true"
"@christina@xoxo.zone","true"
"@chrisw3bb@vivaldi.net","true"
"@cindyalvarez@mastodon.social","true"
"@cl@dbatools.io","true"
"@claudioessilva@dataplatform.social","true"
"@cporteous@techhub.social","true"
"@daron@yondem.com","true"
"@dataandme@mstdn.social","true"
"@DataScotland@techhub.social","true"
"@davidortinau@noc.social","true"
"@dbatools@dataplatform.social","true"
"@ddalgleish@mastodon.social","true"
"@dennyglee@hacky.town","true"
"@DerFredo@techhub.social","true"
"@DonaldParish@techhub.social","true"
"@echoechoR@vis.social","true"
"@eposvox@glitch.lgbt","true"
"@ericatoelle@infosec.exchange","true"
"@erinstellato@mas.to","true"
"@ewj@hachyderm.io","true"
"@gabe@hachyderm.io","true"
"@gastoncruz@mastodon.social","true"
"@geo_walters@c.im","true"
"@girlgerms@infosec.exchange","true"
"@GlennAlanBerry@techhub.social","true"
"@grrl_geek@mastodon.world","true"
"@HowardvRooijen@mastodon.social","true"
"@infowetrust@vis.social","true"
"@interface@mastodon.gamedev.place","true"
"@JamesDBartlett3@techhub.social","true"
"@JenMsft@mastodon.social","true"
"@jennybryan@fosstodon.org","true"
"@jkerski@mastodon.tech","true"
"@jorriss@techhub.social","true"
"@jtrobec@mas.to","true"
"@justB@techhub.social","true"
"@kaflurbaleen@mastodon.social","true"
"@kaythaney@indieweb.social","true"
"@kclemson@mastodon.cloud.","true"
"@kevchant@techhub.social","true"
"@kiewic@mastodon.social","true"
"@kjonge@techhub.social","true"
"@koen@dataplatform.social.","true"
"@Konstantinos_Ioannou@medium.com","true"
"@kvlly@hachyderm.io","true"
"@LBugnion@mastodon.social","true"
"@LindaStone@mastodon.social","true"
"@maelle@mastodon.social.","true"
"@martinwoodward@hachyderm.io","true"
"@mattbrehmer@vis.social","true"
"@merill@infosec.exchange","true"
"@MI77@mastodon.online","true"
"@mssqlgirl@techhub.social","true"
"@nancykoppdw@medium.com","true"
"@nickmilo@pkm.social","true"
"@nocentino@techhub.social","true"
"@nonfamous@sfba.social","true"
"@NPT@www.youtube.com","true"
"@paulbatum@hachyderm.io","true"
"@PicardTips@botsin.space","true"
"@randizuckerberg@withkoji.com","true"
"@redevries@mastodon.social","true"
"@rikhepworth@hachyderm.io","true"
"@robertdmcneill@mastodon.world","true"
"@robf@mas.to","true"
"@rynchantress@hachyderm.io","true"
"@shanselman@hachyderm.io","true"
"@shawnwildermuth@fosstodon.org","true"
"@simona@hachyderm.io","true"
"@simonr@vis.social","true"
"@SQLBek@techhub.social","true"
"@SQLClause@dataplatform.social","true"
"@Sqlgene@techhub.social","true"
"@SQLSwimmer@dataplatform.social","true"
"@techresa@techhub.social","true"
"@terrajobst@hachyderm.io","true"
"@tggleeson@mastodon.ie","true"
"@threddyrex@hachyderm.io","true"
"@tibbetts@metasocial.com","true"
"@timheuer@mastodon.social","true"
"@troyhunt@infosec.exchange","true"
"@venzann@mastodon.nz","true"
"@welshcuriosity@mastodon.lol","true"
"@williamd@dataplatform.social","true"
"@wisevis@vis.social","true"
"@YetAnotherSQL@noc.social","true"
"@zeealeid@mastodon.social","true"
