"TwitterUserName","TwitterUser","TwitterUrl","TwitterElement","MastodonUser","MastodonInstance","MastodonAccountAddress","MastodonUrl","IsValidDomain"
"_AlexYates_","Alex Yates (Probably)","https://twitter.com/_AlexYates_","Description","@ay","awscommunity.social","@ay@awscommunity.social","https://awscommunity.social/@ay","True"
"acroll","Alistair Croll (self-parody.)","https://twitter.com/acroll","Description","@acroll","nerdculture.de","@acroll@nerdculture.de","https://nerdculture.de/@acroll","True"
"aiddya","Ashanka Iddya @aiddya@infosec.exchange","https://twitter.com/aiddya","Name","@aiddya","infosec.exchange","@aiddya@infosec.exchange","https://infosec.exchange/@aiddya","True"
"ajohnsocyber","Ann Johnson","https://twitter.com/ajohnsocyber","Description","@ajohnsocyber","infosec.exchange","@ajohnsocyber@infosec.exchange","https://infosec.exchange/@ajohnsocyber","True"
"AlbertoCairo","@albertocairo@mastodon.social","https://twitter.com/AlbertoCairo","Name","@albertocairo","mastodon.social","@albertocairo@mastodon.social","https://mastodon.social/@albertocairo","True"
"allison_horst","Allison Horst @allison_horst@mastodon.social","https://twitter.com/allison_horst","Name","@allison_horst","mastodon.social","@allison_horst@mastodon.social","https://mastodon.social/@allison_horst","True"
"anandVragav","Anand","https://twitter.com/anandVragav","UrlEntity","@anandv","fosstodon.org","@anandv@fosstodon.org","https://fosstodon.org/@anandv","True"
"andrewconnell","Andrew Connell 🏁🚀🤓🇺🇸","https://twitter.com/andrewconnell","Description","@AndrewConnell","mastodon.world","@AndrewConnell@mastodon.world","https://mastodon.world/@AndrewConnell","True"
"ashleymcnamara","Ashley Willis (McNamara)","https://twitter.com/ashleymcnamara","UrlEntity","@ashleymcnamara","mastodon.social","@ashleymcnamara@mastodon.social","https://mastodon.social/@ashleymcnamara","True"
"avatorl","Andrzej Leszkiewicz 🇵🇱🇺🇦","https://twitter.com/avatorl","UrlEntity","@avatorl","techhub.social","@avatorl@techhub.social","https://techhub.social/@avatorl","True"
"bertilsy","Bertil Syamken 🇺🇦","https://twitter.com/bertilsy","Description","@bertilsy","dataplatform.social.","@bertilsy@dataplatform.social","https://dataplatform.social./@bertilsy","True"
"BethMassi","Beth Massi","https://twitter.com/BethMassi","UrlEntity","@BethMassi","noc.social","@BethMassi@noc.social","https://noc.social/@BethMassi","True"
"bketelsen","Brian Ketelsen","https://twitter.com/bketelsen","Description","@bketelsen","tty0.social","@bketelsen@tty0.social","https://tty0.social/@bketelsen","True"
"blowdart","Barry Dorrans","https://twitter.com/blowdart","Description","@blowdart","mastodon.social","@blowdart@mastodon.social","https://mastodon.social/@blowdart","True"
"bobgourley","Bob Gourley","https://twitter.com/bobgourley","Description","@BobGourley","defcon.social","@BobGourley@defcon.social","https://defcon.social/@BobGourley","True"
"briankrebs","briankrebs","https://twitter.com/briankrebs","UrlEntity","@briankrebs","infosec.exchange","@briankrebs@infosec.exchange","https://infosec.exchange/@briankrebs","True"
"bridgetkromhout","Bridget Kromhout","https://twitter.com/bridgetkromhout","Description","@bridgetkromhout","hachyderm.io","@bridgetkromhout@hachyderm.io","https://hachyderm.io/@bridgetkromhout","True"
"bweissman","Ben Weissman (he/him)","https://twitter.com/bweissman","Description","@bweissman","dataplatform.social","@bweissman@dataplatform.social","https://dataplatform.social/@bweissman","True"
"cathrinew","Cathrine Wilhelmsen","https://twitter.com/cathrinew","Description","@cathrinew","dataplatform.social","@cathrinew@dataplatform.social","https://dataplatform.social/@cathrinew","True"
"chambernate","Nate Chamberlain","https://twitter.com/chambernate","UrlEntity","@chambernate","mastodon.social","@chambernate@mastodon.social","https://mastodon.social/@chambernate","True"
"cindyalvarez","Cindy Alvarez @cindyalvarez@mastodon.social","https://twitter.com/cindyalvarez","Name","@cindyalvarez","mastodon.social","@cindyalvarez@mastodon.social","https://mastodon.social/@cindyalvarez","True"
