"TwitterUserName","TwitterUser","TwitterUrl","TwitterElement","MastodonUser","MastodonInstance","MastodonAccountAddress","MastodonUrl","IsValidDomain"
"_J_G","Jim G. on mastodon @_j_g@hachyderm.io","https://twitter.com/_J_G","Name","@_j_g","hachyderm.io","@_j_g@hachyderm.io","https://hachyderm.io/@_j_g","True"
"_ro1o_","rolo","https://twitter.com/_ro1o_","UrlEntity","@ro1o","chaos.social","@ro1o@chaos.social","https://chaos.social/@ro1o","True"
"_tho_","Thomas Walther","https://twitter.com/_tho_","Description","@EmobilityEast|@bed_eg|","ttn_erz.IT","@EmobilityEast|@bed_eg|@ttn_erz.IT","https://ttn_erz.IT/@EmobilityEast|@bed_eg|","True"
"14_15_puzzle","🐌NaN","https://twitter.com/14_15_puzzle","Description","@14_15_puzzle","ioc.exchange","@14_15_puzzle@ioc.exchange","https://ioc.exchange/@14_15_puzzle","True"
"AchimWieser","Achim Wieser","https://twitter.com/AchimWieser","Description","@awcoding","infosec.exchange","@awcoding@infosec.exchange","https://infosec.exchange/@awcoding","True"
"adamdriscoll","Adam Driscoll","https://twitter.com/adamdriscoll","UrlEntity","@adamdriscoll","mastodon.social","@adamdriscoll@mastodon.social","https://mastodon.social/@adamdriscoll","True"
"AdamFowler_IT","Adam Fowler","https://twitter.com/AdamFowler_IT","UrlEntity","@AdamFowler_IT","aus.social","@AdamFowler_IT@aus.social","https://aus.social/@AdamFowler_IT","True"
"adamhjk","Adam Jacob","https://twitter.com/adamhjk","Description","@adamhjk","hachyderm.io","@adamhjk@hachyderm.io","https://hachyderm.io/@adamhjk","True"
"alecthegeek","Alec Clews is @alecthegeek@mstdn.social","https://twitter.com/alecthegeek","Name","@alecthegeek","mstdn.social","@alecthegeek@mstdn.social","https://mstdn.social/@alecthegeek","True"
"ALevyInROC","Andy Levy","https://twitter.com/ALevyInROC","Description","@alevyinroc","techhub.social","@alevyinroc@techhub.social","https://techhub.social/@alevyinroc","True"
"alexandair","A:\leksandar🌩🐚Nikolić","https://twitter.com/alexandair","Description","@alexandair","infosec.exchange","@alexandair@infosec.exchange","https://infosec.exchange/@alexandair","True"
"alphasteff","Stefan Beckmann","https://twitter.com/alphasteff","UrlEntity","@alphasteff","infosec.exchange","@alphasteff@infosec.exchange","https://infosec.exchange/@alphasteff","True"
"AndiStotz","Andi Stotz","https://twitter.com/AndiStotz","Description","@IxYpsilonZset","hachyderm.io","@IxYpsilonZset@hachyderm.io","https://hachyderm.io/@IxYpsilonZset","True"
"AndrewJimenez_","Andrew Jimenez","https://twitter.com/AndrewJimenez_","UrlEntity","@asjimene","infosec.exchange","@asjimene@infosec.exchange","https://infosec.exchange/@asjimene","True"
"arielsanchezmor","Ariel Sanchez Mora @arielsanchezmora@vmst.io","https://twitter.com/arielsanchezmor","Name","@arielsanchezmora","vmst.io","@arielsanchezmora@vmst.io","https://vmst.io/@arielsanchezmora","True"
"ASoftMan","Bill Powell (@asoftman@vmst.io)","https://twitter.com/ASoftMan","Name","@asoftman","vmst.io","@asoftman@vmst.io","https://vmst.io/@asoftman","True"
"awakecoding","Marc-André Moreau","https://twitter.com/awakecoding","UrlEntity","@awakecoding","infosec.exchange","@awakecoding@infosec.exchange","https://infosec.exchange/@awakecoding","True"
"Ba4bes","Barbara 4bes","https://twitter.com/Ba4bes","Description","@ba","4bes.dev","@ba@4bes.dev","https://4bes.dev/@ba","True"
"bangingagainst","@bangingagainst@infosec.exchange","https://twitter.com/bangingagainst","Name","@bangingagainst","infosec.exchange","@bangingagainst@infosec.exchange","https://infosec.exchange/@bangingagainst","True"
"bchap1n","@brock@hachyderm.io","https://twitter.com/bchap1n","Name","@brock","hachyderm.io","@brock@hachyderm.io","https://hachyderm.io/@brock","True"
"Bjompen","Björn Sundling","https://twitter.com/Bjompen","Description","@bjompen","mastodon.nu","@bjompen@mastodon.nu","https://mastodon.nu/@bjompen","True"
